항목명,2015,2017,2019,2021,2023,False_count
기부문화확산_1순위코드,True,True,False,False,True,2
기부문화확산_2순위코드,True,True,False,False,True,2
기부문화확산_3순위코드,True,True,False,False,True,2
기부사유코드,False,False,False,False,True,4
기부여부,True,True,True,False,True,1
기부종류,False,False,True,False,False,4
기부종류코드,False,True,False,False,False,4
기부하지 않은 이유,False,False,True,True,False,3
기부한 이유,False,False,False,True,False,4
기부희망분야_1순위코드,True,True,False,False,True,2
기부희망분야_2순위코드,True,True,False,False,True,2
기부희망분야_3순위코드,True,True,False,False,True,2
기타 일반인을 위한 봉사 관련-시간,False,False,True,False,False,4
기타 일반인을 위한 봉사 관련-주기,False,False,True,False,False,4
기타 일반인을 위한 봉사 관련-횟수,False,False,True,False,False,4
긴축 소비 지출 항목[1순위],False,False,True,True,False,3
긴축 소비 지출 항목[2순위],False,False,True,True,False,3
긴축 소비 지출 항목[3순위],False,False,True,True,False,3
긴축소비지출항목_1순위코드,True,True,False,False,True,2
긴축소비지출항목_2순위코드,True,True,False,False,True,2
긴축소비지출항목_3순위코드,True,True,False,False,True,2
내년 가구의 재정 상태,False,False,True,True,False,3
내년가구재정상태코드,True,True,False,False,True,2
노후 준비방법_노후준비하고 있지 않은 이유,False,False,True,True,False,3
노후 준비방법_부수적인 것,False,False,True,True,False,3
노후 준비방법_주된 것,False,False,True,True,False,3
노후를 보내고 싶은 방법,False,False,True,True,False,3
노후를 위한 사회적 관심사,False,False,True,False,False,4
노후를 위한 사회적 역할,False,False,False,True,False,4
노후사회적관심사코드,True,True,False,False,False,3
노후사회적역할코드,False,False,False,False,True,4
노후생활주요활동_1순위코드,False,False,False,False,True,4
노후생활주요활동_2순위코드,False,False,False,False,True,4
노후생활주요활동_3순위코드,False,False,False,False,True,4
노후준비방법_노후미준비사유코드,True,True,False,False,True,2
노후준비방법_본인노후준비여부,True,True,False,False,True,2
노후준비방법_부수적방법코드,True,True,False,False,True,2
노후준비방법_주된방법코드,True,True,False,False,True,2
노후희망활동_1순위코드,False,False,False,False,True,4
노후희망활동_2순위코드,False,False,False,False,True,4
노후희망활동_3순위코드,False,False,False,False,True,4
노후희망활동코드,True,True,False,False,False,3
다문화가족여부,False,False,False,False,True,4
단체참여[기타],False,False,True,True,False,3
단체참여[기타]_코로나,False,False,False,True,False,4
단체참여[시민 사회단체],False,False,True,True,False,3
단체참여[시민 사회단체]_코로나,False,False,False,True,False,4
단체참여[이익 단체],False,False,True,True,False,3
단체참여[이익 단체]_코로나,False,False,False,True,False,4
단체참여[정치 단체],False,False,True,True,False,3
단체참여[정치 단체]_코로나,False,False,False,True,False,4
단체참여[종교 단체],False,False,True,True,False,3
단체참여[종교 단체]_코로나,False,False,False,True,False,4
단체참여[지역 사회 모임],False,False,True,True,False,3
단체참여[지역 사회 모임]_코로나,False,False,False,True,False,4
"단체참여[취미, 스포츠 및 여가 활동 단체]",False,False,True,True,False,3
"단체참여[취미, 스포츠 및 여가 활동 단체]_코로나",False,False,False,True,False,4
단체참여[친목 및 사교단체],False,False,True,True,False,3
단체참여[친목 및 사교단체]_코로나,False,False,False,True,False,4
단체참여[학술 단체],False,False,True,True,False,3
단체참여[학술 단체]_코로나,False,False,False,True,False,4
단체참여_기타여부,False,False,False,False,True,4
단체참여_시민사회단체여부,False,False,False,False,True,4
단체참여_이익단체여부,False,False,False,False,True,4
단체참여_정치단체여부,False,False,False,False,True,4
단체참여_종교단체여부,False,False,False,False,True,4
단체참여_지역사회모임여부,False,False,False,False,True,4
단체참여_취미스포츠여가활동단체여부,False,False,False,False,True,4
단체참여_친목사교단체여부,False,False,False,False,True,4
단체참여_학술단체여부,False,False,False,False,True,4
단체참여여부,True,True,False,False,False,3
독서_교양서적권수,True,True,False,False,False,3
독서_기타권수,True,True,False,False,False,3
독서_생활취미정보서적권수,True,True,False,False,False,3
독서_잡지류권수,True,True,False,False,False,3
독서_직업직무관련서적권수,True,True,False,False,False,3
"독서권수[교양서적(종교, 소설, 시집, 역사, 예술서적 등)]",False,False,True,False,False,4
"독서권수[기타(만화, 무협지 등)]",False,False,True,False,False,4
"독서권수[생활·취미·정보서적(육아, 꽃꽃이, 등산, 낚시 서적 등)]",False,False,True,False,False,4
"독서권수[잡지류(주간, 월간, 기타)]",False,False,True,False,False,4
독서권수[직업(직무)과 관련한 서적들)],False,False,True,False,False,4
독서여부,True,True,True,True,True,0
레저시설 이용 횟수,False,False,True,True,False,3
레저시설_골프장이용횟수,True,True,False,False,False,3
레저시설_관광명소유적지국립공원이용횟수,True,True,False,False,False,3
레저시설_기타이용횟수,True,True,False,False,False,3
레저시설_놀이공원이용횟수,True,True,False,False,False,3
레저시설_산림욕장휴양림이용횟수,True,True,False,False,False,3
레저시설_수영장워터파크포함이용횟수,True,True,False,False,False,3
레저시설_스키장이용횟수,True,True,False,False,False,3
레저시설_온천장스파이용횟수,True,True,False,False,False,3
레저시설_이용여부코드,False,False,False,False,True,4
레저시설_해수욕장이용횟수,True,True,False,False,False,3
레저시설이용횟수,True,True,False,False,False,3
만나이,False,False,True,False,False,4
만연령,True,True,False,False,False,3
문화 예술 및 스포츠 관람,False,False,True,True,False,3
문화예술스포츠관람_기타횟수,False,True,False,False,False,4
문화예술스포츠관람_무용횟수,True,True,False,False,False,3
문화예술스포츠관람_미술관횟수,True,True,False,False,False,3
문화예술스포츠관람_박물관횟수,True,True,False,False,False,3
문화예술스포츠관람_스포츠횟수,True,True,False,False,False,3
문화예술스포츠관람_연극마당극뮤지컬횟수,True,True,False,False,False,3
문화예술스포츠관람_영화횟수,True,True,False,False,False,3
문화예술스포츠관람_음악연주회횟수,True,True,False,False,False,3
문화예술스포츠관람여부,True,True,False,False,True,2
미기부사유코드,True,True,False,False,True,2
배우자의 지난 1주간 경제활동상태,False,False,True,True,False,3
배우자지난1주간경제활동여부,True,True,False,False,True,2
본인세대_계층이동코드,False,False,False,False,True,4
본인세대계층이동코드,True,True,False,False,False,3
본인의 계층이동,False,False,True,True,False,3
본인의 노후 준비방법[준비여부],False,False,True,True,False,3
부채변화코드,True,True,False,False,True,2
부채의 변화,False,False,True,True,False,3
부채의 변화_코로나,False,False,False,True,False,4
분류코드-가구소득,False,False,True,True,False,3
분류코드-가구소득2,False,False,True,True,False,3
분류코드-가구소득3,False,False,False,True,False,4
분류코드-경제활동여부,False,False,True,True,False,3
분류코드-경제활동여부2,False,False,False,True,False,4
분류코드-계층의식,False,False,True,True,False,3
분류코드-고용 안정성,False,False,True,True,False,3
분류코드-기부여부,False,False,True,True,False,3
분류코드-맞벌이여부,False,False,True,True,False,3
분류코드-맞벌이여부2,False,False,True,True,False,3
분류코드-물품기부_정기성,False,False,True,False,False,4
분류코드-물품기부여부,False,False,True,True,False,3
분류코드-산업별,False,False,True,True,False,3
분류코드-소득 만족도,False,False,True,True,False,3
분류코드-연령*교육정도별1,False,False,True,True,False,3
분류코드-연령*교육정도별2,False,False,True,True,False,3
분류코드-연령*교육정도별3,False,False,True,True,False,3
분류코드-연령*교육정도별4,False,False,True,True,False,3
분류코드-연령*교육정도별5,False,False,True,True,False,3
분류코드-연령*교육정도별6,False,False,False,True,False,4
분류코드-자원봉사_정기성,False,False,True,False,False,4
분류코드-자원봉사여부,False,False,True,True,False,3
분류코드-장애인 복지카드 소유여부,False,False,True,True,False,3
분류코드-종사자지위별,False,False,True,True,False,3
분류코드-주관적 소득수준,False,False,True,True,False,3
분류코드-주관적만족감,False,False,True,True,False,3
분류코드-직업별,False,False,True,True,False,3
분류코드-청소년 교육정도1,False,False,True,True,False,3
분류코드-청소년 교육정도2,False,False,True,True,False,3
분류코드-현금기부_정기성,False,False,True,False,False,4
분류코드-현금기부여부,False,False,True,True,False,3
분류코드_가구소득1코드,True,True,False,False,True,2
분류코드_가구소득2코드,True,True,False,False,True,2
분류코드_가구소득3코드,False,True,False,False,True,3
분류코드_가구원수,True,True,True,True,True,0
분류코드_가구원수2,False,False,False,True,False,4
분류코드_가구원수2코드,False,False,False,False,True,4
분류코드_경제활동여부,True,True,False,False,True,2
분류코드_계층의식코드,True,True,False,False,True,2
분류코드_고용안전성코드,True,False,False,False,False,4
분류코드_고용안정성여부,False,True,False,False,True,3
분류코드_교육정도,False,False,True,True,False,3
분류코드_교육정도코드,True,True,False,False,True,2
분류코드_기부여부,True,True,False,False,True,2
분류코드_다문화가족여부,False,False,False,False,True,4
분류코드_동.읍면부,False,False,True,True,False,3
분류코드_동부읍면부구분코드,True,True,False,False,True,2
분류코드_만 13세 이상,False,False,True,True,False,3
분류코드_만 15세 이상,False,False,True,True,False,3
분류코드_만13세이상여부,True,True,False,False,True,2
분류코드_만15세이상여부,True,True,False,False,True,2
분류코드_맞벌이1여부,True,True,False,False,True,2
분류코드_맞벌이2여부,True,True,False,False,True,2
분류코드_물품기부여부,True,True,False,False,True,2
분류코드_물품기부정기성여부,True,True,False,False,False,3
분류코드_산업별코드,False,False,False,False,True,4
분류코드_성별,False,False,True,True,False,3
분류코드_성별코드,True,True,False,False,True,2
분류코드_세대구분,False,False,True,True,False,3
분류코드_세대구분코드,True,True,False,False,True,2
분류코드_소득만족도코드,True,True,False,False,True,2
분류코드_연령*성별1,False,False,True,True,False,3
분류코드_연령*성별10,False,False,False,True,False,4
분류코드_연령*성별11,False,False,False,True,False,4
분류코드_연령*성별2,False,False,True,True,False,3
분류코드_연령*성별3,False,False,True,True,False,3
분류코드_연령*성별4,False,False,True,True,False,3
분류코드_연령*성별5,False,False,True,True,False,3
분류코드_연령*성별6,False,False,True,True,False,3
분류코드_연령*성별7,False,False,True,True,False,3
분류코드_연령*성별8,False,False,True,True,False,3
분류코드_연령*성별9,False,False,True,True,False,3
분류코드_연령1,False,False,True,True,False,3
분류코드_연령10,False,False,True,True,False,3
분류코드_연령10코드,True,True,False,False,True,2
분류코드_연령11,False,False,True,True,False,3
분류코드_연령11코드,True,True,False,False,True,2
분류코드_연령12,False,False,True,True,False,3
분류코드_연령12코드,True,True,False,False,True,2
분류코드_연령13,False,False,True,True,False,3
분류코드_연령13코드,True,True,False,False,True,2
분류코드_연령14,False,False,False,True,False,4
분류코드_연령14코드,False,False,False,False,True,4
분류코드_연령15코드,False,False,False,False,True,4
분류코드_연령16코드,False,False,False,False,True,4
분류코드_연령1코드,True,True,False,False,True,2
분류코드_연령2,False,False,True,True,False,3
분류코드_연령2코드,True,True,False,False,True,2
분류코드_연령3,False,False,True,True,False,3
분류코드_연령3코드,True,True,False,False,True,2
분류코드_연령4,False,False,True,True,False,3
분류코드_연령4코드,True,True,False,False,True,2
분류코드_연령5,False,False,True,True,False,3
분류코드_연령5코드,True,True,False,False,True,2
분류코드_연령6,False,False,True,True,False,3
분류코드_연령6코드,True,True,False,False,True,2
분류코드_연령7,False,False,True,True,False,3
분류코드_연령7코드,True,True,False,False,True,2
분류코드_연령8,False,False,True,True,False,3
분류코드_연령8코드,True,True,False,False,True,2
분류코드_연령9,False,False,True,True,False,3
분류코드_연령9코드,True,True,False,False,True,2
분류코드_연령교육정도1코드,True,True,False,False,True,2
분류코드_연령교육정도2코드,True,True,False,False,True,2
분류코드_연령교육정도3코드,True,True,False,False,True,2
분류코드_연령교육정도4코드,True,True,False,False,True,2
분류코드_연령교육정도5코드,True,True,False,False,True,2
분류코드_연령교육정도6코드,False,False,False,False,True,4
분류코드_연령교육정도별7코드,False,False,False,False,True,4
분류코드_연령성별10코드,False,False,False,False,True,4
분류코드_연령성별11코드,False,False,False,False,True,4
분류코드_연령성별1코드,True,True,False,False,True,2
분류코드_연령성별2코드,True,True,False,False,True,2
분류코드_연령성별3코드,True,True,False,False,True,2
분류코드_연령성별4코드,True,True,False,False,True,2
분류코드_연령성별5코드,True,True,False,False,True,2
분류코드_연령성별6코드,True,True,False,False,True,2
분류코드_연령성별7코드,True,True,False,False,True,2
분류코드_연령성별8코드,True,True,False,False,True,2
분류코드_연령성별9코드,True,True,False,False,True,2
분류코드_임금근로자,False,False,True,True,False,3
분류코드_임금근로자구분코드,True,True,False,False,True,2
분류코드_자원봉사여부,True,True,False,False,True,2
분류코드_자원봉사정기성여부,True,True,False,False,False,3
분류코드_장애인복지카드_소유여부,False,False,False,False,True,4
분류코드_장애인복지카드소유여부,True,True,False,False,False,3
분류코드_점유형태,False,False,True,True,False,3
분류코드_점유형태1코드,True,True,False,False,True,2
분류코드_점유형태2,False,False,True,True,False,3
분류코드_점유형태2코드,True,True,False,False,True,2
분류코드_종사자지위코드,True,True,False,False,True,2
분류코드_주관적만족감코드,True,True,False,False,True,2
분류코드_주관적소득수준코드,True,True,False,False,True,2
분류코드_주택형태,False,False,True,True,False,3
분류코드_주택형태1코드,True,True,False,False,True,2
분류코드_주택형태2,False,False,True,True,False,3
분류코드_주택형태2코드,True,True,False,False,True,2
분류코드_직업대분류코드,True,True,False,False,False,3
분류코드_직업별코드,False,False,False,False,True,4
분류코드_직장산업대분류코드,True,True,False,False,False,3
분류코드_청소년교육정도1코드,False,True,False,False,True,3
분류코드_청소년교육정도2코드,False,True,False,False,True,3
분류코드_청소년교육정도코드1,True,False,False,False,False,4
분류코드_청소년교육정도코드2,True,False,False,False,False,4
분류코드_현금기부여부,True,True,False,False,True,2
분류코드_현금기부정기성여부,True,True,False,False,False,3
분류코드_혼인상태,False,False,True,True,False,3
분류코드_혼인상태2,False,False,False,True,False,4
분류코드_혼인상태2코드,False,False,False,False,True,4
분류코드_혼인상태코드,True,True,False,False,True,2
사회보험료 부담에 대한 인식[건강보험 납부여부],False,False,True,False,False,4
사회보험료 부담에 대한 인식[건강보험 부담정도],False,False,True,False,False,4
사회보험료 부담에 대한 인식[고용보험 납부여부],False,False,True,False,False,4
사회보험료 부담에 대한 인식[고용보험 부담정도],False,False,True,False,False,4
사회보험료 부담에 대한 인식[국민연금 납부여부],False,False,True,False,False,4
사회보험료 부담에 대한 인식[국민연금 부담정도],False,False,True,False,False,4
사회보험료부담인식_건강보험납부여부,True,True,False,False,True,2
사회보험료부담인식_건강보험부담정도코드,True,False,False,False,True,3
사회보험료부담인식_고용보험납부여부,True,True,False,False,True,2
사회보험료부담인식_고용보험부담정도코드,True,True,False,False,True,2
사회보험료부담인식_국민연금납부여부,True,True,False,False,True,2
사회보험료부담인식_국민연금부담정도코드,True,True,False,False,True,2
사회의 장애인 차별 정도,False,False,True,True,False,3
사회장애인차별정도코드,True,True,False,False,True,2
사회적 관계망 변화[가족 외 친인척],False,False,False,True,False,4
사회적 관계망 변화[가족],False,False,False,True,False,4
사회적 관계망 변화[그 밖의 알고 지내는 사람],False,False,False,True,False,4
사회적 관계망 변화[동료(직장이나 학교)],False,False,False,True,False,4
사회적 관계망 변화[이웃],False,False,False,True,False,4
사회적 관계망 변화[절친한 친구],False,False,False,True,False,4
사회적 관계망 변화[종교 단체 구성원],False,False,False,True,False,4
사회적 관계망 변화[취미 활동 단체 회원],False,False,False,True,False,4
사회적 관계망-교류[가족 또는 친척 외],False,False,True,True,False,3
사회적 관계망-교류[가족 또는 친척 외]_명수,False,False,True,False,False,4
사회적 관계망-교류[가족 또는 친척],False,False,True,True,False,3
사회적 관계망-교류[가족 또는 친척]_명수,False,False,True,False,False,4
사회적 관계망1[몸이 아파 집안일을 부탁해야 할 경우],True,False,False,False,False,4
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우],False,False,True,False,False,4
사회적 관계망[갑자기 많은 돈을 빌려야 할 경우]_명수,False,False,True,False,False,4
사회적 관계망[갑자기 큰 돈을 빌려야 할 경우],False,False,False,True,False,4
사회적 관계망[낙심하거나 우울해서 이야기 상대가 필요한 경우],False,False,False,True,False,4
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우],False,False,True,True,False,3
사회적 관계망[몸이 아파 집안일을 부탁해야 할 경우]_명수,False,False,True,False,False,4
사회적 관계망[이야기 상대가 필요한 경우],False,False,True,False,False,4
사회적 관계망[이야기 상대가 필요한 경우]_명수,False,False,True,False,False,4
사회적관계망_가사도움요청대상유무,True,True,False,False,True,2
사회적관계망_가사도움요청대상인원수,True,True,False,False,False,3
사회적관계망_교류가족친척외유무,False,False,False,False,True,4
사회적관계망_교류가족친척유무,False,False,False,False,True,4
사회적관계망_대화상대도움요청대상유무,True,True,False,False,True,2
사회적관계망_대화상대도움요청대상인원수,True,True,False,False,False,3
사회적관계망_자금차입도움요청대상유무,True,True,False,False,True,2
사회적관계망_자금차입도움요청대상인원수,True,True,False,False,False,3
산업코드,False,False,True,True,False,3
생활비 마련 방법,False,False,True,True,False,3
생활비 마련방법(본인 및 배우자 부담),False,False,True,True,False,3
생활비마련방법_본인및배우자부담코드,False,False,False,False,True,4
생활비마련방법_본인배우자부담코드,True,True,False,False,False,3
생활비마련방법_지원자녀친척동거여부,True,False,False,False,False,4
생활비마련방법코드,True,True,False,False,True,2
생활여건변화_문화여가생활여건코드,True,True,False,False,True,2
생활여건변화_보건의료서비스코드,True,True,False,False,True,2
생활여건변화_사회보장제도코드,True,True,False,False,True,2
생활여건변화_전반적생활여건코드,True,True,False,False,True,2
생활여건의 변화[문화·여가 생활 향유 여건],False,False,True,True,False,3
생활여건의 변화[문화·여가 생활 향유 여건]_코로나,False,False,False,True,False,4
생활여건의 변화[보건 의료 서비스],False,False,True,True,False,3
생활여건의 변화[보건 의료 서비스]_코로나,False,False,False,True,False,4
생활여건의 변화[사회보장제도],False,False,True,True,False,3
생활여건의 변화[사회보장제도]_코로나,False,False,False,True,False,4
생활여건의 변화[전반적인 생활여건],False,False,True,True,False,3
생활여건의 변화[전반적인 생활여건]_코로나,False,False,False,True,False,4
선호 장례 방법,False,False,True,True,False,3
선호장례방법코드,True,True,False,False,True,2
성별,False,False,True,True,False,3
성별코드,True,True,False,False,True,2
성취만족도코드,False,True,False,False,True,3
성취에 대한 만족도,False,False,True,True,False,3
소득 만족도,False,False,True,True,False,3
소득만족도코드,True,True,False,False,True,2
소득변화코드,True,True,False,False,True,2
소득의 변화,False,False,True,True,False,3
소득의 변화_코로나,False,False,False,True,False,4
소비 생활 변화,False,False,False,True,False,4
소비생활 만족도,False,False,True,True,False,3
소비생활만족도코드,True,True,False,False,True,2
수학여부,False,False,True,True,False,3
승수(가구)_weight,False,False,True,False,False,4
승수(가구원)_weight,False,False,True,False,False,4
신뢰,False,False,True,True,False,3
신뢰코드,False,False,False,False,True,4
신문[인터넷신문] 본적있는지 여부,False,False,True,True,False,3
신문[인터넷신문]_보는 분야,False,False,True,True,False,3
신문[일반신문] 본적있는지 여부,False,False,True,True,False,3
신문[일반신문]_보는 분야,False,False,True,True,False,3
신문_인터넷신문구독여부,True,True,False,False,False,3
신문_인터넷신문구독주기코드,False,True,False,False,False,4
신문_일반신문구독여부,True,True,False,False,False,3
신문_일반신문구독주기코드,False,True,False,False,False,4
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-시간",False,False,True,False,False,4
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-주기",False,False,True,False,False,4
"아동, 청소년, 노인, 장애인, 재소자 등과 관련-횟수",False,False,True,False,False,4
앞으로 하고 싶은 여가 활동[1순위],False,False,True,True,False,3
앞으로 하고 싶은 여가 활동[2순위],False,False,True,True,False,3
앞으로 하고 싶은 여가 활동[3순위],False,False,True,True,False,3
여가 활용 만족도,False,False,True,True,False,3
여가 활용 불만족 이유,False,False,True,True,False,3
여가활동_동반자코드,True,False,False,False,False,4
여가활용_만족도코드,True,True,False,False,False,3
여가활용_불만족사유코드,True,True,False,False,True,2
여가활용만족도코드,False,False,False,False,True,4
여성 취업 시기,False,False,True,True,False,3
여성 취업 장애 요인[1순위],False,False,True,True,False,3
여성 취업 장애 요인[2순위],False,False,True,True,False,3
여성 취업 장애 요인[3순위],False,False,True,True,False,3
여성 취업에 대한 견해,False,False,True,True,False,3
여성취업견해코드,True,True,False,False,True,2
여성취업시기코드,True,True,False,False,True,2
여성취업장애요인_1순위코드,True,True,False,False,True,2
여성취업장애요인_2순위코드,True,True,False,False,True,2
여성취업장애요인_3순위코드,True,True,False,False,True,2
우선실시장애인복지사업_1순위코드,True,True,False,False,True,2
우선실시장애인복지사업_2순위코드,True,True,False,False,True,2
우선실시장애인복지사업_3순위코드,True,True,False,False,True,2
우선적으로 실시해야 할 장애인 복지사업[1순위],False,False,True,True,False,3
우선적으로 실시해야 할 장애인 복지사업[2순위],False,False,True,True,False,3
우선적으로 실시해야 할 장애인 복지사업[3순위],False,False,True,True,False,3
원격 수업,False,False,False,True,False,4
원격 수업_효과성,False,False,False,True,False,4
원격 수업이 효과적이지 않은 이유[1순위],False,False,False,True,False,4
원격 수업이 효과적이지 않은 이유[2순위],False,False,False,True,False,4
원격 수업이 효과적이지 않은 이유[3순위],False,False,False,True,False,4
유산 기부 의사,False,False,True,False,False,4
유산기부의사여부,True,False,False,False,True,3
이용횟수[골프장],False,False,True,False,False,4
"이용횟수[관광명소(유적지, 국립공원 등)]",False,False,True,False,False,4
이용횟수[기타],False,False,True,False,False,4
이용횟수[놀이공원],False,False,True,False,False,4
이용횟수[산림욕장(휴양림)],False,False,True,False,False,4
이용횟수[수영장(워터파크 포함)],False,False,True,False,False,4
이용횟수[스키장 및 스케이트장(눈썰매장 포함)],False,False,True,False,False,4
이용횟수[온천장 및 스파],False,False,True,False,False,4
이용횟수[해수욕장],False,False,True,False,False,4
일가정생활우선도코드,True,True,False,False,True,2
일가정양립제도인지도_가족돌봄휴직제인지여부,True,True,False,False,False,3
